sentence,benefits
The strong smell of the seeds makes the plant an ideal inhalant to alleviate hoarseness and a dry throat.,"inhalant, hoarse throat, dry throat"
The leaves and roots of the plant are helpful in treating gonorrhea and venereal diseases.,"gonorrhea, venereal diseases"
The nut has been traditionally used in treating sore throats.,sore throat
The anti-inflammatory properties of Arecanut Palm leaves are beneficial in conditions such as arthritis. ,"inflammation, arthiritis"
Arecanut stimulates the central nervous system and serves as tonic for exhaustion and debility. ,"exhaustion, debility"
The rhizomes of the herb are powerful aphrodisiacs. ,aphrodisiacs
Asparagus is known to increase sperm count. ,sperm count
"Traditionally, it has been used as a rejuvenation remedy.",rejuvenation
The roots of the herb are used to treat diarrhea and dysentery.,"diarrhea, dysentery"
The herb helps in digestion and alleviates ulcers and other inflammatory stomach ailments.,"digestion, ulcer, stomach ailments"
Asparagus can restore hormonal balance in women who have fluctuating hormonal levels due to menstruation and menopause. It       enhances fertility and regulates the menstrual cycle. ,"fluctuating hormonal levels, fertility, menstrual cycle"
It  is a natural diuretic that reduces water retention. ,"diuretic, water retention"
 Its high tannin content makes Bael an effective treatment for dysentery and cholera. ,"dysentery, cholera"
"The bark decoction of the tree is administered in cases of malaria, while the leaves are used in jaundice. ","malaria, jaundice"
"Marmin, a coumarin isolated from the roots has anti-inflammatory  properties, which makes Bael fruit ideal for treating inflammation. ",inflammation
"Topically applied, the juice of Barbados Aloe has  potent antibacterial, antiseptic and antifungal properties, which are  beneficial in treating skin wounds, allergies and insect bites. It relieves  dryness and itching, which makes it a popular ingredient in skincare and haircare  products.","skin wounds, allergies, insect bites, dryness, itching"
Vaginal infections and gynecological disorders can be  treated with the herb&rsquo;s extracts.,"Vaginal infections, gynecological disorders"
The herb relieves constipation and tones up the  digestive tract.,"constipation, digestive tract"
"As an aphrodisiac, Elephant Creeper is effective in  stimulating the male libido.",male libido
"The plant is also a tonic for the nervous system, relieving  anxiety.",anxiety
Calamus improves blood circulation and alleviates  swelling. It also relieves pain and inflammation.,"blood circulation, swelling, pain, inflammation"
"The herb is recommended as a brain tonic, which  improves memory and is helpful in treating epilepsy.","memory, epilepsy"
"It is also used to treat stomach ailments such as chronic  diarrhea, dysentery and abdominal tumors.","diarrhea, dysentery, abdominal tumours"
Celery regulates fluid balance and acts as a diuretic  to flush out toxins.,diuretic
The vegetable is known to lower cholesterol.,cholesterol
"The active compounds in Celery relax the muscles  around the arteries and allow blood vessels to dilate. With more space inside  the arteries, blood can flow at a lower pressure.",blood pressure
A herbal concoction of Crowfoot and Long Black Pepper  is effective in treating gastrointestinal disorders.,gastrointestinal disorders
"On external application, the herb relieves joint aches  as a result of rheumatism."," joint aches,  rheumatism"
"As a galactagogue, Wild Cane stimulates milk secretion  in mammals.",milk secretion
"As a diuretic and diaphoretic, the herb flushes out toxins  from the body.","diuretic, diaphoretic"
The most common use of Larger or Greater Cardamom is  as a mouth freshener.,mouth freshener
"Its seeds are credited with stimulant, stomachic and  astringent properties.","stomachic, astringent"
It is used to treat and prevent sore throats.,sore throats
It is also prescribed in the treatment of indigestion  and nausea. ,"indigestion, nausea"
"As a diuretic, Prickly Chaff Flower eliminates toxins  from the body. It is also beneficial in herbal preparations for the treatment  of kidney stones.","diuretic, kidney stones"
It maintains heart and gastrointestinal health.,"heart, gastrointestinal"
"Malabar Nut exhibits anti-inflammatory, antitussive  and bronchodilatory action, which eases congestion and coughing by loosening  and thinning mucus in the airways.","anti-inflammatory, antitussive, bronchodilatory , congestion, coughing"
